NAME,FPL,ch2mev_0,ch2mev_1,zcoef_0,zcoef_1,zcoef_2,ionpair,pedestal0,pedestal1,pedestal2,pedestal3,pedestal4,pedestal5,pedestal6,pedestal7,pedestal8,pedestal9,detectorid,geo0,ch0,geo1,ch1,geo2,ch2,geo3,ch3,geo4,ch4,geo5,ch5,geo6,ch6,geo7,ch7,geo8,ch8,geo9,ch9
F7IC,7,32.143,0.0564,9.3,-0.0903,0,4866,40,23,-31,41,-3,-70,0,0,0,0,4,0,0,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9
F11IC,11,2.43155,0.083,8.95,0.25,0.0,4866,58,-207,10,34,-55,12,0,0,0,0,4,0,0,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9
