NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI0,0,8,2,119.83,-17.61,-17.01,-14.04,1053.6,0.0977,-309.783,3.38535,10,0,6,0
NaI1,1,8,2,119.79,-24.24,-3.64,-14.03,1052.8,0.0977,-260.318,3.18084,10,1,6,1
NaI2,2,8,2,119.92,-21.48,11.49,-14.01,1050.6,0.0977,-217.48,3.42904,10,2,6,2
NaI3,3,8,2,119.94,-10.8,22.01,-14.12,1049.7,0.0977,-373.637,3.80262,10,3,6,3
NaI4,4,8,2,119.97,4.2,24.11,-14.11,1048.6,0.0977,-373.637,3.80262,10,4,6,4
NaI5,5,8,2,119.88,17.56,17.02,-14.05,1048,0.0977,-298.259,3.62398,10,5,6,5
NaI6,6,8,2,119.74,24.36,3.25,-14.04,1050.6,0.0977,-342.537,3.41706,10,6,6,6
NaI7,7,8,2,120.14,21.44,-11.48,-14.12,1054.1,0.0977,-370.03,3.66864,10,7,6,7
NaI8,8,8,2,119.9,10.7,-22.03,-14.08,1048.3,0.0977,-293.354,2.90915,10,8,6,8
NaI9,9,8,2,119.71,-3.99,-24.35,-14.08,1048.2,0.0977,-257.068,3.72324,10,9,6,9
NaI10,10,8,3,110.38,-11.07,-21.99,-9.15,1055.1,0.0977,-327.378,3.42346,10,10,6,10
NaI11,11,8,3,110.45,-21.82,-11.37,-9.17,1050.8,0.0977,-316.543,3.2968,10,11,6,11
NaI12,12,8,3,110.33,-24.36,3.7,-9.13,1048.6,0.0977,-260.742,3.01343,10,12,6,12
NaI13,13,8,3,110.5,-17.47,17.3,-9.19,1054.5,0.0977,-352.57,3.45992,10,13,6,13
NaI14,14,8,3,110.47,-4.08,24.26,-9.18,1049.6,0.0977,-348.591,3.01446,10,14,6,14
NaI15,15,8,3,110.34,11.09,21.91,-9.1,1048,0.0977,-253.925,2.75005,10,15,6,15
NaI16,16,8,3,110.33,21.89,11.4,-9.14,1050.2,0.0977,-325.933,3.78203,10,16,6,16
NaI17,17,8,3,110.54,24.29,-3.55,-9.2,1048.7,0.0977,-258.172,3.272,10,17,6,17
NaI18,18,8,3,110.5,17.49,-17.25,-9.18,1049.1,0.0977,-280.54,3.61508,10,18,6,18
NaI19,19,8,3,110.3,3.98,-24.3,-9.11,1049.9,0.0977,-357.968,3.33467,10,19,6,19
NaI20,20,8,4,99.79,-16.96,-17.72,-4.23,1048.1,0.0977,-259.559,2.98292,10,20,6,20
NaI21,21,8,4,99.82,-24.09,-4.26,-4.24,1048.6,0.0977,-351.053,3.42549,10,21,6,21
NaI22,22,8,4,99.76,-22.11,10.73,-4.23,1050.6,0.0977,-407.719,3.48056,10,22,6,22
NaI23,23,8,4,99.96,-11.43,21.66,-4.3,1048.9,0.0977,-290.327,3.57588,10,23,6,23
