NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI0,0,8,2,119.83,-17.61,-17.01,-14.04,1052.6,0.0977,67.1252,2.69473,10,0,6,0
NaI1,1,8,2,119.79,-24.24,-3.64,-14.03,1051.8,0.0977,-214.363,3.09514,10,1,6,1
NaI2,2,8,2,119.92,-21.48,11.49,-14.01,1049.6,0.0977,-269.64,3.69637,10,2,6,2
NaI3,3,8,2,119.94,-10.8,22.01,-14.12,1048.7,0.0977,-428.304,3.91438,10,3,6,3
NaI4,4,8,2,119.97,4.2,24.11,-14.11,1047.6,0.0977,-428.304,3.91438,10,4,6,4
NaI5,5,8,2,119.88,17.56,17.02,-14.05,1047,0.0977,-319.055,3.68917,10,5,6,5
NaI6,6,8,2,119.74,24.36,3.25,-14.04,1049.6,0.0977,-14.6867,2.81656,10,6,6,6
NaI7,7,8,2,120.14,21.44,-11.48,-14.12,1053.1,0.0977,-9.2787,2.9794,10,7,6,7
NaI8,8,8,2,119.9,10.7,-22.03,-14.08,1047.3,0.0977,-312.449,2.952,10,8,6,8
NaI9,9,8,2,119.71,-3.99,-24.35,-14.08,1047.2,0.0977,-285.564,3.77434,10,9,6,9
NaI10,10,8,3,110.38,-11.07,-21.99,-9.15,1054.1,0.0977,-321.123,3.42089,10,10,6,10
NaI11,11,8,3,110.45,-21.82,-11.37,-9.17,1049.8,0.0977,-319.312,3.29837,10,11,6,11
NaI12,12,8,3,110.33,-24.36,3.7,-9.13,1047.6,0.0977,-281.931,3.06719,10,12,6,12
NaI13,13,8,3,110.5,-17.47,17.3,-9.19,1053.5,0.0977,-324.819,3.41393,10,13,6,13
NaI14,14,8,3,110.47,-4.08,24.26,-9.18,1048.6,0.0977,-359.842,3.04602,10,14,6,14
NaI15,15,8,3,110.34,11.09,21.91,-9.1,1047,0.0977,-268.446,2.78505,10,15,6,15
NaI16,16,8,3,110.33,21.89,11.4,-9.14,1049.2,0.0977,-310.072,3.72113,10,16,6,16
NaI17,17,8,3,110.54,24.29,-3.55,-9.2,1047.7,0.0977,-273.926,3.30728,10,17,6,17
NaI18,18,8,3,110.5,17.49,-17.25,-9.18,1048.1,0.0977,-317.198,3.70801,10,18,6,18
NaI19,19,8,3,110.3,3.98,-24.3,-9.11,1048.9,0.0977,-347.376,3.32222,10,19,6,19
NaI20,20,8,4,99.79,-16.96,-17.72,-4.23,1047.1,0.0977,-270.21,3.0161,10,20,6,20
NaI21,21,8,4,99.82,-24.09,-4.26,-4.24,1047.6,0.0977,-374.959,3.48916,10,21,6,21
NaI22,22,8,4,99.76,-22.11,10.73,-4.23,1049.6,0.0977,-432.563,3.54556,10,22,6,22
NaI23,23,8,4,99.96,-11.43,21.66,-4.3,1047.9,0.0977,-299.361,3.60951,10,23,6,23
NaI24,24,8,4,99.74,3.39,24.25,-4.2,1048.8,0.0977,-325.798,3.13961,10,24,6,24
NaI25,25,8,4,99.87,17.14,17.45,-4.25,1049.6,0.0977,-378.38,3.6317,10,25,6,25
NaI26,26,8,4,99.8,24.11,4.23,-4.23,1048.2,0.0977,-328.423,3.32331,10,26,6,26
NaI27,27,8,4,99.81,21.93,-10.85,-4.23,1052,0.0977,-301.42,3.66019,10,27,6,27
NaI28,28,8,4,99.8,11.31,-21.69,-4.22,1050.7,0.0977,-313.343,3.39804,10,28,6,28
NaI29,29,8,4,99.81,-3.38,-24.35,-4.25,1048.7,0.0977,-332.27,3.3362,10,29,6,29
NaI30,30,8,5,88.35,-10.68,-22.06,0.71,1049.1,0.0977,-345.969,3.24471,10,30,6,30
NaI31,31,8,5,88.29,-21.65,-11.63,0.73,1053,0.0977,-315.833,3.16918,10,31,6,31
NaI32,32,8,5,88.3,-24.12,3.54,0.73,1046.1,0.0977,-323.363,3.47891,11,0,6,32
NaI33,33,8,5,88.42,-17.83,16.9,0.68,1046.4,0.0977,-299.33,3.2155,11,1,6,33
NaI34,34,8,5,88.39,-4.21,24.14,0.69,1045.4,0.0977,-374.669,3.16297,11,2,6,34
NaI35,35,8,5,88.48,10.76,21.99,0.65,1046,0.0977,-358.679,3.34959,11,3,6,35
NaI36,36,8,5,88.31,21.62,11.24,0.72,1045.3,0.0977,-324.947,3.47421,11,4,6,36
NaI37,37,8,5,88.34,24.22,-3.42,0.71,1050.4,0.0977,-362.966,3.45478,11,5,6,37
NaI38,38,8,5,88.28,17.66,-16.99,0.74,1047.9,0.0977,-422.427,3.51973,11,6,6,38
NaI39,39,8,5,88.38,4.14,-24.11,0.69,1047.8,0.0977,-375.785,3.40726,11,7,6,39
NaI40,40,8,6,79.01,-15.56,-25,5.72,1047.6,0.0977,-390.514,3.33373,11,8,6,40
NaI41,41,8,6,79.25,-26.06,-14.28,5.64,1041.6,0.0977,-318.084,4.57114,11,9,6,41
NaI42,42,8,6,79.08,-29.49,0.98,5.69,1049.2,0.0977,-321.998,3.34609,11,10,6,42
