NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI0,0,8,2,119.83,-17.61,-17.01,-14.04,1007.6,0.0977,-314.93,3.38585,10,0,6,0
NaI1,1,8,2,119.79,-24.24,-3.64,-14.03,1006.8,0.0977,-270.147,3.25391,10,1,6,1
NaI2,2,8,2,119.92,-21.48,11.49,-14.01,1004.6,0.0977,-278.375,3.7307,10,2,6,2
NaI3,3,8,2,119.94,-10.8,22.01,-14.12,1003.7,0.0977,-385.648,3.81877,10,3,6,3
NaI4,4,8,2,119.97,4.2,24.11,-14.11,1002.6,0.0977,-385.648,3.81877,10,4,6,4
NaI5,5,8,2,119.88,17.56,17.02,-14.05,1002,0.0977,-306.325,3.62144,10,5,6,5
NaI6,6,8,2,119.74,24.36,3.25,-14.04,1004.6,0.0977,-379.601,3.53635,10,6,6,6
NaI7,7,8,2,120.14,21.44,-11.48,-14.12,1008.1,0.0977,-396.535,3.75991,10,7,6,7
NaI8,8,8,2,119.9,10.7,-22.03,-14.08,1002.3,0.0977,-313.363,2.94498,10,8,6,8
NaI9,9,8,2,119.71,-3.99,-24.35,-14.08,1002.2,0.0977,-269.646,3.78678,10,9,6,9
NaI10,10,8,3,110.38,-11.07,-21.99,-9.15,1009.1,0.0977,-393.8,3.62418,10,10,6,10
NaI11,11,8,3,110.45,-21.82,-11.37,-9.17,1004.8,0.0977,-343.416,3.33083,10,11,6,11
NaI12,12,8,3,110.33,-24.36,3.7,-9.13,1002.6,0.0977,-275.901,3.0499,10,12,6,12
NaI13,13,8,3,110.5,-17.47,17.3,-9.19,1008.5,0.0977,-382.353,3.48355,10,13,6,13
NaI14,14,8,3,110.47,-4.08,24.26,-9.18,1003.6,0.0977,-368.793,3.02009,10,14,6,14
NaI15,15,8,3,110.34,11.09,21.91,-9.1,1002,0.0977,-272.16,2.77928,10,15,6,15
NaI16,16,8,3,110.33,21.89,11.4,-9.14,1004.2,0.0977,-333.316,3.79714,10,16,6,16
NaI17,17,8,3,110.54,24.29,-3.55,-9.2,1002.7,0.0977,-266.913,3.30721,10,17,6,17
NaI18,18,8,3,110.5,17.49,-17.25,-9.18,1003.1,0.0977,-274.791,3.61809,10,18,6,18
NaI19,19,8,3,110.3,3.98,-24.3,-9.11,1003.9,0.0977,-355.014,3.31664,10,19,6,19
NaI20,20,8,4,99.79,-16.96,-17.72,-4.23,1002.1,0.0977,-271.372,2.98054,10,20,6,20
NaI21,21,8,4,99.82,-24.09,-4.26,-4.24,1002.6,0.0977,-365.544,3.44174,10,21,6,21
NaI22,22,8,4,99.76,-22.11,10.73,-4.23,1004.6,0.0977,-429.609,3.51056,10,22,6,22
NaI23,23,8,4,99.96,-11.43,21.66,-4.3,1002.9,0.0977,-301.33,3.56958,10,23,6,23
NaI24,24,8,4,99.74,3.39,24.25,-4.2,1003.8,0.0977,-334.044,3.1349,10,24,6,24
NaI25,25,8,4,99.87,17.14,17.45,-4.25,1004.6,0.0977,-376.952,3.57576,10,25,6,25
NaI26,26,8,4,99.8,24.11,4.23,-4.23,1003.2,0.0977,-335.867,3.29854,10,26,6,26
NaI27,27,8,4,99.81,21.93,-10.85,-4.23,1007,0.0977,-293.484,3.60819,10,27,6,27
NaI28,28,8,4,99.8,11.31,-21.69,-4.22,1005.7,0.0977,-313.753,3.34438,10,28,6,28
NaI29,29,8,4,99.81,-3.38,-24.35,-4.25,1003.7,0.0977,-330.08,3.35142,10,29,6,29
NaI30,30,8,5,88.35,-10.68,-22.06,0.71,1004.1,0.0977,-368.764,3.23244,10,30,6,30
NaI31,31,8,5,88.29,-21.65,-11.63,0.73,1008,0.0977,-349.421,3.21945,10,31,6,31
NaI32,32,8,5,88.3,-24.12,3.54,0.73,1001.1,0.0977,-323.049,3.43529,11,0,6,32
NaI33,33,8,5,88.42,-17.83,16.9,0.68,1001.4,0.0977,-302.296,3.18536,11,1,6,33
NaI34,34,8,5,88.39,-4.21,24.14,0.69,1000.4,0.0977,-385.373,3.16713,11,2,6,34
NaI35,35,8,5,88.48,10.76,21.99,0.65,1001,0.0977,-357.731,3.29108,11,3,6,35
NaI36,36,8,5,88.31,21.62,11.24,0.72,1000.3,0.0977,-322.615,3.41489,11,4,6,36
NaI37,37,8,5,88.34,24.22,-3.42,0.71,1005.4,0.0977,-367.424,3.41915,11,5,6,37
NaI38,38,8,5,88.28,17.66,-16.99,0.74,1002.9,0.0977,-418.254,3.46929,11,6,6,38
NaI39,39,8,5,88.38,4.14,-24.11,0.69,1002.8,0.0977,-378.381,3.3744,11,7,6,39
NaI40,40,8,6,79.01,-15.56,-25,5.72,1002.6,0.0977,-394.959,3.32191,11,8,6,40
NaI41,41,8,6,79.25,-26.06,-14.28,5.64,996.6,0.0977,-313.82,4.4983,11,9,6,41
NaI42,42,8,6,79.08,-29.49,0.98,5.69,1004.2,0.0977,-326.929,3.33621,11,10,6,42
NaI43,43,8,6,79.13,-24.99,15.81,5.68,1003.4,0.0977,-359.769,3.32629,11,11,6,43
NaI44,44,8,6,79.13,-13.65,26.15,5.66,1004.3,0.0977,-390.124,3.20607,11,12,6,44
NaI45,45,8,6,79.04,1.04,29.5,5.72,1003.4,0.0977,-380.32,3.26038,11,13,6,45
NaI46,46,8,6,79.01,15.61,25.08,5.74,1006.5,0.0977,-417.048,3.32809,11,14,6,46
